"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length"
1142,2020,"CA","CDF","BEU","RIVER","00004024","2020/08/16 00:00:00+00","2020/09/04 00:00:00+00",1,7,1,50213.82,"Brush or brush-and-grass mixture fire
","","{D87D9FB8-3E55-4CF8-BB70-F099C48AB590}","","",2020,314948093.957031,188233.155878169
1148,2020,"CA","CCO","VNC","HOLSER","00066767","2020/08/17 00:00:00+00","2020/08/22 00:00:00+00",14,7,1,2188.634,"","","{6072A4CB-F525-4D19-87CC-6BDA2E4FCB1D}","","",2020,13059172.328125,19186.8294309377
1153,2020,"CA","CDF","SCU","SCU COMPLEX","00005740","2020/08/16 00:00:00+00","2020/09/11 00:00:00+00",1,2,1,396824.5,"","SCU COMPLEX","{871C357C-444E-437E-AD4D-EBDAF39C3AD6}","","",2020,2545883718.76562,634336.338845716
1155,2020,"CA","CDF","SCU","CREWS","00004686","2020/07/05 00:00:00+00","2020/07/15 00:00:00+00",8,2,1,5513.191,"","","{5D075A6A-350E-497F-B977-A6DCF275B2EC}","","",2020,35060829.5039062,45170.9785570476
1161,2020,"CA","CDF","RRU","AIRPORT","00154602","2020/12/01 00:00:00+00","2020/12/13 00:00:00+00",14,2,1,1085.7,"","","","","",2020,6394320.5859375,21111.0757464018
1164,2020,"CA","CDF","RRU","SANDERSON","00160421","2020/12/13 00:00:00+00","2020/12/14 00:00:00+00",4,7,1,1954.651,"","","{1FDE9A25-8AB5-4606-8F61-93EBFA5E7FF0}","","",2020,11511422.7382812,19690.7828535255
1169,2020,"CA","CCO","LAC","SOLEDAD","00197926","2020/07/05 00:00:00+00","2020/07/07 00:00:00+00",9,1,1,1525.536,"","","{44797D81-7F12-447F-9D0E-B9AB3EBE8D6C}","","",2020,9101965.32421875,23117.5582574448
1174,2020,"CA","USF","ANF","BOBCAT","00003687","2020/09/06 00:00:00+00","2020/10/19 00:00:00+00",14,7,1,115998,"","","{56C3E0AE-98EF-4433-863D-23A5DFF3D0C2}","","",2020,690091830.25,433313.073884562
1196,2020,"CA","CDF","LNU","MEYERS","00013481","2020/08/17 00:00:00+00","2020/09/02 00:00:00+00",1,7,1,2360.251,"","LNU LIGHTNING COMPLEX","{F6DEE06F-4EC1-42BB-9135-6B0196015A42}","","",2020,15621426.3203125,22388.5020060292
1197,2020,"CA","CDF","LNU","WALBRIDGE","00013392","2020/08/17 00:00:00+00","2020/09/11 00:00:00+00",1,7,1,55208.94,"","LNU LIGHTNING COMPLEX","{2A5481B2-B479-4124-81B0-5463F9D16A17}","","",2020,366514226.371094,157572.908253266
1198,2020,"CA","CDF","LNU","HENNESSEY","00013337","2020/08/17 00:00:00+00","2020/09/16 00:00:00+00",1,7,1,305351.9,"","LNU LIGHTNING COMPLEX","{AB8C9F13-A691-48C7-8BF6-3A4A5946F0EF}","","",2020,2027266568.11719,1008834.88444174
1199,2020,"CA","CDF","LNU","GLASS","00015497","2020/09/27 00:00:00+00","2020/10/20 00:00:00+00",14,7,1,67484.41,"J. Baldwin","","","","",2020,447043238.957031,272074.173454487
1200,2020,"CA","CDF","LNU","QUAIL","00008419","2020/06/06 00:00:00+00","2020/06/18 00:00:00+00",14,7,1,1841,"J. Baldwin","","{7A0C1344-5E9F-4327-945A-0A93F913F4F9}","","",2020,12174059.359375,16855.239545447
1207,2020,"CA","USF","MDF","DALTON ","00000498","2020/07/23 00:00:00+00","2020/08/15 00:00:00+00",1,3,1,1367.078,"","","{9F9E1BE4-BE1A-4A44-AE9B-D38B9F4364C2}","","",2020,9939544.83984375,23649.397210532
